
Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Rhode Island,US,2020-04-15 22:56:51,41,680,-71,511,3251,80,168,3171,44,306,883,25897,331,2,460,84000044,USA,2444,586,10,181
South Dakota,US,2020-04-15 22:56:51,44,299,-99,438,1168,6,329,1162,46,158,718,9859,51,,513,84000046,USA,1339,734,4,366
Tennessee,US,2020-04-15 22:56:51,35,747,-86,692,5827,124,2196,5703,47,88,759,80896,663,2,128,84000047,USA,1232,244,11,378
Texas,US,2020-04-15 22:56:51,31,054,-97,563,15907,375,3150,15532,48,69,207,151810,1538,2,357,84000048,USA,660,486,9,668
Utah,US,2020-04-15 22:56:51,40,150,-111,862,2548,20,218,2528,49,88,908,47614,221,,784,84000049,USA,1661,408,8,673
Vermont,US,2020-04-15 22:56:51,44,045,-72,710,759,29,15,730,50,124,305,11081,63,3,820,84000050,USA,1814,799,8,300
Virginia,US,2020-04-15 22:56:51,37,769,-78,170,6500,195,752,6305,51,82,203,44169,1298,3,000,84000051,USA,558,590,19,969
West Virginia,US,2020-04-15 22:56:51,38,491,-80,954,702,10,211,692,54,53,061,17656,164,1,424,84000054,USA,1334,544,23,361
Wyoming,US,2020-04-15 22:56:51,42,756,-107,302,287,1,129,286,56,57,718,6329,43,,348,84000056,USA,1272,825,14,982
Alaska,US,2020-04-16 23:30:51,61,370,-152,404,300,9,110,291,2,50,188,8735,35,3,000,84000002,USA,1461,315,11,666
Arizona,US,2020-04-16 23:30:51,33,729,-111,431,4237,150,460,4087,4,58,210,47398,578,3,540,84000004,USA,651,186,13,641
Arkansas,US,2020-04-16 23:30:51,34,969,-92,373,1620,37,548,1583,5,62,571,22675,85,2,283,84000005,USA,875,811,5,246
Delaware,US,2020-04-16 23:30:51,39,318,-75,507,2070,55,378,2015,10,212,577,13350,209,2,657,84000010,USA,1370,968,10,096
District of Columbia,US,2020-04-16 23:30:51,38,897,-77,026,2350,81,552,2269,11,332,979,12150,313,3,446,84000011,USA,1721,575,13,319
Guam,US,2020-04-16 23:30:51,13,444,144,793,135,5,86,130,66,82,202,1005,9,3,703,316,GUM,611,950,6,666
